image_path,class_label,attributes,caption,split,instance_id
images/team9_calculator_01_a.jpg,calculator,color:black;material:plastic;condition:new;size:medium,A blue plastic calculator on a cracked white surface.,train,team9_calculator_01
images/team9_calculator_01_b.jpg,calculator,color:black;material:plastic;condition:new;size:medium,A dark plastic calculator with colorful buttons.,train,team9_calculator_01
images/team9_calculator_01_c.jpg,calculator,color:black;material:plastic;condition:new;size:medium,The back of a dark blue plastic calculator.,train,team9_calculator_01
images/team9_calculator_01_d.jpg,calculator,color:black;material:plastic;condition:new;size:medium,A dark gray plastic calculator with its case.,train,team9_calculator_01
images/team9_calculator_01_e.jpg,calculator,color:black;material:plastic;condition:new;size:medium,A dark gray plastic calculator on a white notebook.,train,team9_calculator_01
images/team9_calculator_02_a.jpg,calculator,color:black;material:plastic;condition:new;size:medium,The bottom of a dark gray plastic calculator.,val,team9_calculator_02
images/team9_calculator_02_b.jpg,calculator,color:black;material:plastic;condition:new;size:medium,A black plastic calculator with blue buttons.,val,team9_calculator_02
images/team9_calculator_02_c.jpg,calculator,color:black;material:plastic;condition:new;size:medium,A black plastic calculator with colorful buttons.,val,team9_calculator_02
images/team9_calculator_02_d.jpg,calculator,color:black;material:plastic;condition:new;size:medium,A black plastic calculator on a white notebook.,val,team9_calculator_02
images/team9_calculator_03_a.jpg,calculator,color:multicolor;material:plastic;condition:new;size:medium,A cream-colored plastic calculator with pastel buttons.,train,team9_calculator_03
images/team9_calculator_03_b.jpg,calculator,color:multicolor;material:plastic;condition:new;size:medium,A white plastic calculator with colorful pastel buttons.,train,team9_calculator_03
images/team9_calculator_03_c.jpg,calculator,color:multicolor;material:plastic;condition:new;size:medium,A white plastic calculator with pastel buttons and an orange bottom.,train,team9_calculator_03
images/team9_calculator_03_d.jpg,calculator,color:multicolor;material:plastic;condition:new;size:medium,A white plastic calculator with pastel buttons.,train,team9_calculator_03
images/team9_calculator_04_a.jpg,calculator,color:black;material:plastic;condition:new;size:medium,A black plastic calculator with a clear screen.,train,team9_calculator_04
images/team9_calculator_04_b.jpg,calculator,color:black;material:plastic;condition:new;size:medium,A black plastic calculator and its case.,train,team9_calculator_04
images/team9_calculator_04_c.jpg,calculator,color:black;material:plastic;condition:new;size:medium,"A black plastic calculator, tilted to the side.",train,team9_calculator_04
images/team9_calculator_04_d.jpg,calculator,color:black;material:plastic;condition:new;size:medium,The back of a dark gray plastic calculator case.,train,team9_calculator_04
images/team9_calculator_04_e.jpg,calculator,color:black;material:plastic;condition:new;size:medium,A dark gray plastic calculator with a green screen.,train,team9_calculator_04
images/team9_calculator_05_a.jpg,calculator,color:white;material:plastic;condition:new;size:medium,A gray plastic device with blue buttons.,val,team9_calculator_05
images/team9_calculator_05_b.jpg,calculator,color:white;material:plastic;condition:new;size:medium,A silver-gray plastic calculator with blue and orange buttons.,val,team9_calculator_05
images/team9_calculator_05_c.jpg,calculator,color:white;material:plastic;condition:new;size:medium,A gray plastic calculator with colorful buttons.,val,team9_calculator_05
images/team9_calculator_05_d.jpg,calculator,color:white;material:plastic;condition:new;size:medium,A light gray plastic calculator with colorful buttons.,val,team9_calculator_05
images/team9_calculator_05_e.jpg,calculator,color:white;material:plastic;condition:new;size:medium,A gray plastic calculator with colorful buttons.,val,team9_calculator_05
images/team9_calculator_06_a.jpg,calculator,color:white;material:plastic;condition:new;size:medium,A small black and white plastic calculator.,train,team9_calculator_06
images/team9_calculator_06_b.jpg,calculator,color:white;material:plastic;condition:new;size:medium,A black plastic calculator with white buttons and a metal border.,train,team9_calculator_06
images/team9_calculator_06_c.jpg,calculator,color:white;material:plastic;condition:new;size:medium,A white and black plastic solar calculator.,train,team9_calculator_06
images/team9_calculator_06_d.jpg,calculator,color:white;material:plastic;condition:new;size:medium,A white plastic calculator in its clear packaging.,train,team9_calculator_06
